               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.097484,            0.066106,           0.0090192,             0.50781,             0.33555,             0.34361,             0.14606,            0.093363,             0.13071,            0.013291,            0.005974,            0.005974,            0.005974
                 124,             0.09766,            0.067631,           0.0091244,              0.5052,             0.34088,             0.34477,             0.14636,            0.093357,             0.13073,            0.013284,            0.005941,            0.005941,            0.005941
                 125,            0.097024,            0.066549,           0.0092867,             0.49955,             0.34286,             0.34476,              0.1466,            0.093358,             0.13074,            0.013282,            0.005908,            0.005908,            0.005908
                 126,            0.097095,            0.066847,           0.0091718,              0.5134,             0.33586,             0.34642,             0.14701,            0.093328,             0.13083,            0.013275,            0.005875,            0.005875,            0.005875
                 127,            0.096591,            0.066309,           0.0090402,             0.50626,             0.34455,              0.3472,             0.14706,            0.093326,             0.13084,             0.01326,            0.005842,            0.005842,            0.005842
                 128,             0.09617,            0.065803,           0.0090035,              0.5018,              0.3441,             0.34743,             0.14714,            0.093324,              0.1308,            0.013259,            0.005809,            0.005809,            0.005809
                 129,            0.096899,            0.066903,           0.0089948,             0.50245,             0.34556,             0.34767,              0.1474,            0.093313,             0.13084,            0.013256,            0.005776,            0.005776,            0.005776
                 130,            0.096482,            0.066598,           0.0090111,             0.51723,             0.34249,             0.34782,             0.14767,            0.093294,             0.13087,             0.01326,            0.005743,            0.005743,            0.005743
                 131,            0.096798,            0.066199,           0.0089585,             0.51751,             0.34219,             0.34883,             0.14786,            0.093272,             0.13097,            0.013258,             0.00571,             0.00571,             0.00571
                 132,            0.096121,            0.066229,           0.0089242,             0.51968,             0.34417,             0.35032,             0.14859,            0.093257,             0.13104,             0.01326,            0.005677,            0.005677,            0.005677
                 133,            0.096115,            0.065943,           0.0088088,             0.51795,             0.34619,             0.35058,             0.14876,            0.093266,             0.13113,            0.013275,            0.005644,            0.005644,            0.005644
                 134,            0.096374,            0.066993,           0.0088228,             0.52019,             0.34645,                0.35,             0.14883,            0.093248,             0.13118,            0.013282,            0.005611,            0.005611,            0.005611
                 135,            0.096608,            0.065871,           0.0090005,             0.51378,             0.34439,             0.35026,               0.149,            0.093223,             0.13125,             0.01328,            0.005578,            0.005578,            0.005578
                 136,            0.095916,            0.065355,           0.0088112,             0.50884,              0.3477,             0.35119,             0.14935,            0.093214,              0.1313,            0.013294,            0.005545,            0.005545,            0.005545
                 137,            0.096518,             0.06489,           0.0089638,             0.50888,              0.3456,             0.35032,             0.14969,            0.093199,             0.13132,            0.013315,            0.005512,            0.005512,            0.005512
                 138,            0.096296,            0.066007,           0.0084859,             0.51293,             0.34329,             0.34925,             0.14962,            0.093205,             0.13133,            0.013345,            0.005479,            0.005479,            0.005479
                 139,            0.096083,            0.066084,            0.008692,             0.51818,             0.34637,             0.35101,              0.1496,            0.093211,             0.13135,            0.013363,            0.005446,            0.005446,            0.005446
                 140,            0.096323,            0.066042,           0.0085725,             0.52579,              0.3433,             0.35202,             0.14966,            0.093203,             0.13135,            0.013368,            0.005413,            0.005413,            0.005413
                 141,            0.096265,            0.065602,           0.0085819,             0.52603,             0.34603,             0.35258,             0.15004,            0.093194,             0.13136,            0.013371,             0.00538,             0.00538,             0.00538
                 142,            0.095643,            0.065284,           0.0085781,             0.52489,             0.34491,             0.35131,             0.14984,            0.093187,             0.13137,            0.013361,            0.005347,            0.005347,            0.005347
                 143,            0.095862,            0.065642,           0.0084881,             0.51312,             0.34871,             0.35104,             0.14995,            0.093181,              0.1314,            0.013359,            0.005314,            0.005314,            0.005314
                 144,            0.095859,             0.06476,           0.0084857,             0.51148,               0.348,             0.35149,             0.15032,            0.093176,             0.13142,            0.013358,            0.005281,            0.005281,            0.005281
                 145,            0.095912,            0.065885,           0.0085949,             0.50989,              0.3489,             0.35324,              0.1505,            0.093169,             0.13145,            0.013368,            0.005248,            0.005248,            0.005248
                 146,            0.095653,            0.065329,           0.0084058,             0.51747,             0.34725,             0.35288,             0.15062,            0.093157,             0.13149,            0.013376,            0.005215,            0.005215,            0.005215
                 147,            0.095249,             0.06557,           0.0083869,              0.5205,             0.34564,             0.35227,             0.15081,            0.093144,             0.13153,            0.013383,            0.005182,            0.005182,            0.005182
                 148,            0.095145,             0.06468,           0.0085096,             0.51869,              0.3451,              0.3525,             0.15076,            0.093135,             0.13157,            0.013384,            0.005149,            0.005149,            0.005149
                 149,            0.095287,            0.066029,           0.0082684,             0.52257,             0.34368,             0.35209,              0.1508,            0.093129,             0.13159,            0.013392,            0.005116,            0.005116,            0.005116
                 150,            0.096169,            0.064792,           0.0082945,              0.5259,              0.3428,             0.35171,             0.15105,            0.093123,             0.13161,            0.013395,            0.005083,            0.005083,            0.005083
                 151,            0.096037,            0.066107,           0.0083939,             0.53027,             0.34138,             0.35218,             0.15136,            0.093117,             0.13163,            0.013397,             0.00505,             0.00505,             0.00505
                 152,            0.095965,            0.065988,           0.0083228,             0.53151,             0.34156,             0.35187,             0.15141,            0.093107,             0.13167,            0.013398,            0.005017,            0.005017,            0.005017
                 153,            0.095138,            0.064927,           0.0083872,             0.52837,             0.34316,             0.35216,             0.15129,            0.093103,             0.13169,            0.013405,            0.004984,            0.004984,            0.004984
                 154,            0.095347,            0.064584,           0.0081366,             0.53012,              0.3428,             0.35351,              0.1514,            0.093098,             0.13171,            0.013409,            0.004951,            0.004951,            0.004951
                 155,            0.095453,            0.065145,           0.0081451,               0.534,             0.34311,             0.35408,             0.15172,             0.09309,             0.13171,            0.013417,            0.004918,            0.004918,            0.004918
                 156,            0.094868,            0.065009,           0.0082305,             0.53295,             0.34233,             0.35352,             0.15152,            0.093079,             0.13172,            0.013422,            0.004885,            0.004885,            0.004885
                 157,            0.095009,            0.065183,           0.0080385,              0.5323,             0.34352,             0.35401,             0.15149,            0.093075,             0.13173,            0.013428,            0.004852,            0.004852,            0.004852
                 158,            0.094718,              0.0651,            0.008054,             0.52972,              0.3447,             0.35418,              0.1516,            0.093072,             0.13174,            0.013435,            0.004819,            0.004819,            0.004819
                 159,            0.094548,            0.064389,           0.0081154,             0.53069,             0.34323,             0.35453,             0.15169,            0.093071,             0.13175,            0.013441,            0.004786,            0.004786,            0.004786
                 160,            0.094709,            0.063653,           0.0081635,              0.5376,             0.34177,             0.35472,             0.15168,            0.093066,             0.13175,            0.013438,            0.004753,            0.004753,            0.004753
                 161,            0.094872,             0.06584,           0.0080976,             0.53859,             0.34222,             0.35412,             0.15181,            0.093063,             0.13177,            0.013443,             0.00472,             0.00472,             0.00472
                 162,            0.094888,            0.064468,           0.0078626,             0.53801,             0.34354,             0.35465,             0.15176,             0.09306,              0.1318,             0.01345,            0.004687,            0.004687,            0.004687
